Table Name,Table Alias,Column Name,Column Alias
OFSW_parameter,Off-site watering,ID,ID
OFSW_parameter,Off-site watering,Year,Year
OFSW_parameter,Off-site watering,Subbasin,Subbasin
OFSW_parameter,Off-site watering,Source,Water source
OFSW_parameter,Off-site watering,SourceID,Source ID
OFSW_parameter,Off-site watering,SELECTION,Selection
BMP_index,BMP index,ID,ID
BMP_index,BMP index,Name,Name
BMP_index,BMP index,Type,Type
BMP_index,BMP index,CODE,Code
BMP_scenarios,BMP scenarios,ID,ID
BMP_scenarios,BMP scenarios,NAME,Name
BMP_scenarios,BMP scenarios,BMP,BMP
BMP_scenarios,BMP scenarios,DISTRIBUTION,Distribution 
BMP_scenarios,BMP scenarios,PARAMETER,Parameter
LS_parameter,Slope length,Slope_perc,Slope 
LS_parameter,Slope length,Max_length_m,Max slope length
Reach_BMP,Reach BMP,Scenario,Scenario
Reach_BMP,Reach BMP,Reach,Reach
Reach_BMP,Reach BMP,PointSource,Point source
Reach_BMP,Reach BMP,FlowDiversion,Flow diversion
Reach_BMP,Reach BMP,Reservoir,Reservoir
Reach_BMP,Reach BMP,Wetland,Wetland
Reach_BMP,Reach BMP,CatchBasin,Catch basin
Reach_BMP,Reach BMP,GrassWaterway,Grass waterway
Reach_BMP,Reach BMP,Dugout,Dugout
Reach_BMP,Reach BMP,AccessManagement,Access management
Reach_Parameter,Reach Parameter,#reach_id,Reach ID
Reach_Parameter,Reach Parameter,subbasin_id,Subbasin ID
Reach_Parameter,Reach Parameter,outlet_id,Outlet ID
Reach_Parameter,Reach Parameter,length,Length
Reach_Parameter,Reach Parameter,width,Midth
Reach_Parameter,Reach Parameter,main_side_slope,Mainstream side slope
Reach_Parameter,Reach Parameter,floodplain_side_slope,Floodplain side slope
Reach_Parameter,Reach Parameter,w_ratio,Width-depth ratio
Reach_Parameter,Reach Parameter,depth,Depth
Reach_Parameter,Reach Parameter,slope,Slope 
Reach_Parameter,Reach Parameter,order,Stream order
Reach_Parameter,Reach Parameter,manning,Manning coeffivcient
Reach_Parameter,Reach Parameter,velocity,Velocity
Reach_Parameter,Reach Parameter,t0,Average travel time
Reach_Parameter,Reach Parameter,d0,Thavel time standard deviation
Reach_Parameter,Reach Parameter,max_elevation,Max elevation
Reach_Parameter,Reach Parameter,min_elevation,Min elevation
Reach_Parameter,Reach Parameter,Ave_elevation,Average elevation
Reach_Parameter,Reach Parameter,receive_reach_id,Receiving reach ID
Reach_Parameter,Reach Parameter,contribution_area,Contributing area
Reach_Parameter,Reach Parameter,erodibility_factor,Erodibility factor
Reach_Parameter,Reach Parameter,cover_factor,Cover factor
Reach_Parameter,Reach Parameter,bc1,NH4 -> NO2 rate constant
Reach_Parameter,Reach Parameter,bc2,NO2 -> NO3 rate constant
Reach_Parameter,Reach Parameter,bc3,OrgN -> NH4 rate constant
Reach_Parameter,Reach Parameter,bc4,OrgP -> DP rate constant
Reach_Parameter,Reach Parameter,rk1,CBOD deoxygenation rate
Reach_Parameter,Reach Parameter,rk2,Oxigen rearaeration rate
Reach_Parameter,Reach Parameter,rk3,CBOD loss rate
Reach_Parameter,Reach Parameter,rk4,Benthic oxygen demand rate
Reach_Parameter,Reach Parameter,rs1,Algal settling rate
Reach_Parameter,Reach Parameter,rs2,Benthic DP source rate
Reach_Parameter,Reach Parameter,rs3,Benthic NH4 source rate
Reach_Parameter,Reach Parameter,rs4,OrgN settling rate
Reach_Parameter,Reach Parameter,rs5,OrgP settling rate
Reach_Parameter,Reach Parameter,minFlow,Minimum flow rate
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,ID,ID
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Code,Code
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Name,Name
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Runoff_c1,Runoff coefficient 1
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Runoff_c2,Runoff coefficient 2
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Runoff_c3,Runoff coefficient 3
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Sed_c1,Sediment coefficient 1
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Sed_c2,Sediment coefficient 2
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,Sed_c3,Sediment coefficient 3
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,OrgN_c1,OrgN coefficient 1
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,OrgN_c2,OrgN coefficient 2
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,NO3_c1,NO3 coefficient 1
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,NO3_c2,NO3 coefficient 2
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,PP_c1,PP coefficient 2
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,DP_c1,DP coefficient 1
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,DP_c2,DP coefficient 2
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,NO3_Reduc_C1,NO3 reduction coefficient 1
RipaBuffer_VegeFilter_parameter,Riparian buffer - Filter strip,NO3_Reduc_C2,NO3 reduction coefficient 2
crop_parameter,Crop parameter,ICNUM,Plant code
crop_parameter,Crop parameter,CPNM,Plant name
crop_parameter,Crop parameter,DESCRIPTION,Full plant name
crop_parameter,Crop parameter,IDC,Plant classification
crop_parameter,Crop parameter,BIO_E,Biomass energy ratio
crop_parameter,Crop parameter,HVSTI,Harvest index
crop_parameter,Crop parameter,BLAI,Maximum potential LAI
crop_parameter,Crop parameter,FRGRW1,First LAI point heat unit fraction 
crop_parameter,Crop parameter,LAIMX1,First LAI fraction
crop_parameter,Crop parameter,FRGRW2,SEcond LAI point heat unit fraction 
crop_parameter,Crop parameter,LAIMX2,Second LAI fraction
crop_parameter,Crop parameter,DLAI,LAI decline season fraction
crop_parameter,Crop parameter,CHTMX,Maximum canopy hight (m)
crop_parameter,Crop parameter,RDMX,Maximum root depth (m)
crop_parameter,Crop parameter,T_OPT,Optimal temperature for growth
crop_parameter,Crop parameter,T_BASE,Base temperature for growth
crop_parameter,Crop parameter,CNYLD,Nitrogen fraction in yield (kg/kg)
crop_parameter,Crop parameter,CPYLD,Phosphorus fraction in yield (kg/kg)
crop_parameter,Crop parameter,BN1,Nitrogen uptake parameter 1
crop_parameter,Crop parameter,BN2,Nitrogen uptake parameter 2
crop_parameter,Crop parameter,BN3,Nitrogen uptake parameter 3
crop_parameter,Crop parameter,BP1,Phosphorus uptake parameter 1
crop_parameter,Crop parameter,BP2,Phosphorus uptake parameter 2
crop_parameter,Crop parameter,BP3,Phosphorus uptake parameter 3
crop_parameter,Crop parameter,WSYF,Lower limit of harvest index
crop_parameter,Crop parameter,USLE_C,USLE cover factor
crop_parameter,Crop parameter,GSI,Maximum stomatal conductance
crop_parameter,Crop parameter,VPDFR,Second point vapor pressure deficit (kPa)
crop_parameter,Crop parameter,FRGMAX,Second point stomatal conductance fraction
crop_parameter,Crop parameter,WAVP,Radiation use efficiency per VPD
crop_parameter,Crop parameter,CO2HI,CO2 concentration (uL/L)
crop_parameter,Crop parameter,BIOEHI,Second point biomass-energy ratio
crop_parameter,Crop parameter,RSDCO_PL,Plant residue decomposition ratio
crop_parameter,Crop parameter,OV_N,Overland Manning coefficient
crop_parameter,Crop parameter,CN2A,CN2 hydrology group A
crop_parameter,Crop parameter,CN2B,CN2 hydrology group B
crop_parameter,Crop parameter,CN2C,CN2 hydrology group C
crop_parameter,Crop parameter,CN2D,CN2 hydrology group D
crop_parameter,Crop parameter,FERTFIELD,Fertilizer field
crop_parameter,Crop parameter,ALAI_MIN,Minimum LAI 
crop_parameter,Crop parameter,BIO_LEAF,Fraction of biomass to residue
crop_parameter,Crop parameter,PHU,Total number of heat units
crop_parameter,Crop parameter,CNOP,Operational Curve Number
crop_parameter,Crop parameter,LAI_INIT,Initial LAI
crop_parameter,Crop parameter,BIO_INIT,Initial biomass
crop_parameter,Crop parameter,CURYR_INIT,Initial age of trees
farm_info,Farm information,ID,Farm ID
farm_info,Farm information,Area_Ha,Area (ha)
farm_subbasin,Farm - Subbasin,Farm,Farm ID
farm_subbasin,Farm - Subbasin,Subbasin,Subbasin ID
farm_subbasin,Farm - Subbasin,Area_Ha,Farm area (ha)
farm_subbasin,Farm - Subbasin,ToFarm,Fraction of the farm
farm_subbasin,Farm - Subbasin,ToSubbasin,Fraction of the subbasin
field_farm,Field - Farm,Field,Field ID
field_farm,Field - Farm,Farm,Farm ID
field_farm,Field - Farm,Area_Ha,Filed area (ha)
field_farm,Field - Farm,ToField,Fraction of the field
field_farm,Field - Farm,ToFarm,Fraction of the farm
field_info,Field information,ID,Field ID
field_info,Field information,Area_Ha,Field area (ha)
manure_and_nutrient_parameter,Manure-fertilizer management BMPs,BMP_ID,BMP ID
manure_and_nutrient_parameter,Manure-fertilizer management BMPs,Code,BMP code
manure_and_nutrient_parameter,Manure-fertilizer management BMPs,Description,BMP description
manure_and_nutrient_parameter,Manure-fertilizer management BMPs,Parameter,Parameter name
manure_and_nutrient_parameter,Manure-fertilizer management BMPs,Value,Parameter value
manure_and_nutrient_parameter,Manure-fertilizer management BMPs,Value_String,Parameter value-string
subbasin_info,Subbasin information,ID,ID
subbasin_info,Subbasin information,Area_Ha,Subbasin area (ha)
subbasin_info,Subbasin information,FlowAcc_Max,Max flow accumulation number
subbasin_info,Subbasin information,PRC_Avg,Average potential runoff coefficient
subbasin_info,Subbasin information,DSC_Avg,Average depression storage capacity (mm)
subbasin_info,Subbasin information,CN2_Avg,Average curve number
wetland_Parameter,Wetland parameter,ID,Wetland ID
wetland_Parameter,Wetland parameter,OperationYear,Operation year
wetland_Parameter,Wetland parameter,Subbasin,Subbasin ID
wetland_Parameter,Wetland parameter,Type,Wetland type
wetland_Parameter,Wetland parameter,ContributionArea_ha,Contributing area (ha)
wetland_Parameter,Wetland parameter,NormalArea_ha,Normal area (ha)
wetland_Parameter,Wetland parameter,NormalVolume_104M3,Normal volume (10^4m^3)
wetland_Parameter,Wetland parameter,MaxArea_ha,Maximum area (ha)
wetland_Parameter,Wetland parameter,MaxVolume_104M3,Maximum volume (10^4m^3)
wetland_Parameter,Wetland parameter,K_mmHr,Bottom conductivity (mm/hr)
wetland_Parameter,Wetland parameter,SedimentConEqui_mgL,Equilibrem sediment concentration (ml/l)
wetland_Parameter,Wetland parameter,D50_um,Madian particle size diameter (um) 
wetland_Parameter,Wetland parameter,SettVolN_mYr,Phosphorus settling velocity (m/yr)
wetland_Parameter,Wetland parameter,SettVolP_mYr,Nitrogen settling velocity (m/yr)
wetland_Parameter,Wetland parameter,ChlaProCo,ChlorophyII-a production coefficient
wetland_Parameter,Wetland parameter,WaterCalCo,Water clarity coefficient
wetland_Parameter,Wetland parameter,InflowFrac,Inflow fraction
wetland_Parameter,Wetland parameter,InitialVolume_104M3,Initial volume (10^4m^3)
wetland_Parameter,Wetland parameter,InitialSediment_mgL,Initial sediment concentration (mg/l)
wetland_Parameter,Wetland parameter,InitialNO3_mgL,Initial NO3 concentration (mg/l)
wetland_Parameter,Wetland parameter,InitialNO2_mgL,Initial NO2 concentration (mg/l)
wetland_Parameter,Wetland parameter,InitialNH3_mgL,Initial NH3 concentration (mg/l)
wetland_Parameter,Wetland parameter,InitialSolP_mgL,Initial soluble P concentration (mg/l)
wetland_Parameter,Wetland parameter,InitialOrgN_mgL,Initial OrgN concentration (mg/l)
wetland_Parameter,Wetland parameter,InitialOrgP_mgL,Initial OrgP concentration (mg/l)
wetland_Parameter,Wetland parameter,RoutingConstant,Wetland routing constant
wetland_Parameter,Wetland parameter,WetlandIDOld,Wetland ID old
wetland_Parameter,Wetland parameter,ClassType,Class type
wetland_Parameter,Wetland parameter,SELECTION,Selection 
subbasin_multiplier,Subbasin multiplier,ID,Subbasin ID
subbasin_multiplier,Subbasin multiplier,SHC,Snow holding capacity (mm)
subbasin_multiplier,Subbasin multiplier,SOIL_T10,Soil temperature parameter
subbasin_multiplier,Subbasin multiplier,INTERC_MAX,Max interception storage (mm)
subbasin_multiplier,Subbasin multiplier,INTERC_MIN,Min interception storage (mm)
subbasin_multiplier,Subbasin multiplier,USLE_C,USLE cover factor
subbasin_multiplier,Subbasin multiplier,ROOT_DEPTH,Root depth
subbasin_multiplier,Subbasin multiplier,MANNING,Manning coeffivcient
subbasin_multiplier,Subbasin multiplier,FIMP,Urban impervious fraction
subbasin_multiplier,Subbasin multiplier,FCIMP,Urban connected impervious fraction
subbasin_multiplier,Subbasin multiplier,CURBDEN,Curb length density (km/ha)
subbasin_multiplier,Subbasin multiplier,URBCOEF,Wash-off coefficient (mm^-1)
subbasin_multiplier,Subbasin multiplier,DIRTMX,Max solid amount on the impervious area (kg/km)
subbasin_multiplier,Subbasin multiplier,THALF,Days to half DIRTMX
subbasin_multiplier,Subbasin multiplier,TNCONC,TN concentration in solid (mg/kg)
subbasin_multiplier,Subbasin multiplier,TPCONC,TP concentration in solid (mg/kg)
subbasin_multiplier,Subbasin multiplier,TNO3CONC,NO3 concentration in solid (mg/kg)
subbasin_multiplier,Subbasin multiplier,URBCN2,CN2 moisture condition 2 in impervious area
subbasin_multiplier,Subbasin multiplier,PET_LAI_COEFFICIENT,PET-LAI-coefficient
subbasin_multiplier,Subbasin multiplier,CONDUCTIVITY,Soil hydraulic conductivity
subbasin_multiplier,Subbasin multiplier,DEPTH,Soil depth
subbasin_multiplier,Subbasin multiplier,POROSITY,Soil porosity
subbasin_multiplier,Subbasin multiplier,FIELD_CAPACITY,Soil field capacity
subbasin_multiplier,Subbasin multiplier,WILTING_POINT,Soil wilting point moisture
subbasin_multiplier,Subbasin multiplier,RESIDUAL,Soil residue moisture
subbasin_multiplier,Subbasin multiplier,PORE_INDEX,Soil pore size distribution index
subbasin_multiplier,Subbasin multiplier,DENSITY,Soil density
subbasin_multiplier,Subbasin multiplier,SAND,Sand fraction
subbasin_multiplier,Subbasin multiplier,CLAY,Clay fraction
subbasin_multiplier,Subbasin multiplier,SLIT,Silt fraction
subbasin_multiplier,Subbasin multiplier,USLE_K,USLE soil erodibility factor
subbasin_multiplier,Subbasin multiplier,CN2,Curve number - moisture condition 2
subbasin_multiplier,Subbasin multiplier,RUNOFF_CO,Potential runoff coefficient
subbasin_multiplier,Subbasin multiplier,DEPRESSION,Depression storage (mm)
subbasin_multiplier,Subbasin multiplier,SOIL_MOIST_IN,Initial soil moisture fraction of field capacity
subbasin_multiplier,Subbasin multiplier,SOIL_NO3_IN,Initial soil NO3 (mg/kg)
subbasin_multiplier,Subbasin multiplier,SOIL_ORGN_IN,Initial soil OrgN (mg/kg)
subbasin_multiplier,Subbasin multiplier,SOIL_SOLP_IN,Initial soil soluble P (mg/kg)
subbasin_multiplier,Subbasin multiplier,SOIL_ORGP_IN,Initial soil OrgP (mg/kg)
subbasin_multiplier,Subbasin multiplier,INTERFLOW_SCALE_FACTOR,Interflow scale factor
reach_lookup,Reach lookup,UpStream,Upstream ID
reach_lookup,Reach lookup,DownStream,Downstream ID
reach_lookup,Reach lookup,Rank,Rank
crop_management,Crop management,Scenario,Scenario
crop_management,Crop management,Location,Location
crop_management,Crop management,ID,ID
crop_management,Crop management,CropCode,Crop code
crop_management,Crop management,Year,Year
crop_management,Crop management,PlantingDay,Planting day
crop_management,Crop management,PlantingMon,Planting month
crop_management,Crop management,HarvestDay,Harvest day
crop_management,Crop management,HarvestMon,Harvest month
crop_management,Crop management,HarvestEfficiency,Harvest efficiency
crop_management,Crop management,HarvestType,Harvest type
crop_management,Crop management,HarvestIndexOverride,Harvest index override
crop_management,Crop management,CNOP,Operation curve number
crop_management,Crop management,StoverFraction,Stover fraction
crop_management,Crop management,IsGrain,Is grain or not
crop_management,Crop management,PRCOP,Operation potential runoff coefficeint
tillage_parameter,Tillage parameter,ITNUM,Tillage ID
tillage_parameter,Tillage parameter,TILLNM,Tillage Name
tillage_parameter,Tillage parameter,DESCRIPTION,Tillage full name
tillage_parameter,Tillage parameter,EFFMIX,Mixing efficiency
tillage_parameter,Tillage parameter,DEPTIL,Mixing depth (mm)
tillage_parameter,Tillage parameter,CNOP_CN2,Relative operation curve number
tillage_parameter,Tillage parameter,PRC,Relative operation potential runoff coefficeint
tillage_parameter,Tillage parameter,DSC,Relative depression storage capacity
fertilizer_parameter,Fertilizer parameter,IFNUM,Fertilizer ID
fertilizer_parameter,Fertilizer parameter,FERTNM,Fertilizer code
fertilizer_parameter,Fertilizer parameter,DESCRIPTION,Fertilizer name
fertilizer_parameter,Fertilizer parameter,FMINN,Mineral N fraction
fertilizer_parameter,Fertilizer parameter,FMINP,Mineral P fraction
fertilizer_parameter,Fertilizer parameter,FORGN,Organic N fraction
fertilizer_parameter,Fertilizer parameter,FORGP,Organic P fraction
fertilizer_parameter,Fertilizer parameter,FNH3N,NH3-N fraction
fertilizer_parameter,Fertilizer parameter,BACTPDB,Persistent bacteriaconcentration in manure
fertilizer_parameter,Fertilizer parameter,BACTLPDB,Less persistent bacteria concentration in manure
fertilizer_parameter,Fertilizer parameter,BACKTKDDB,Bacteria partition coefficient
fertilizer_parameter,Fertilizer parameter,IsManure,Is manure or not
RipaBuffer_management,Riparian buffer management,Scenario,Scenario ID
RipaBuffer_management,Riparian buffer management,ID,Buffer number
RipaBuffer_management,Riparian buffer management,Year,Year
RipaBuffer_management,Riparian buffer management,RIBUF_ID,Buffer ID
RipaBuffer_management,Riparian buffer management,Subbasin,Subbasin ID
RipaBuffer_management,Riparian buffer management,VegetationID,Vegetation ID
RipaBuffer_management,Riparian buffer management,Length,Buffer length (m)
RipaBuffer_management,Riparian buffer management,Width,Buffer width (m)
RipaBuffer_management,Riparian buffer management,Area_ha,Buffer area (ha)
