Table Name,Table Alias,Column Name,Column Alias,"Note: This is a weather generator parameter table, and might not be used in the current IMWEBs model. Can Zhiqiang have a check of the code? Remove this table from HydroClimate.db3 if it was not used."
stations,stations,ID,ID,
stations,stations,NAME,Name,
stations,stations,XPR,X-Coordinate,
stations,stations,YPR,Y-Coordinate,
stations,stations,LAT,Latitude,
stations,stations,LONG,Longitude,
stations,stations,ELEVATION,Elevation,
stations,stations,TYPE,Type,
stations,stations,UNITS,Unit,
stations,stations,AREA,Area,
stations,stations,STARTDATE,Starting data,
stations,stations,ENDDATE,Ending date,
stations,stations,INTERVAL,Interval,
stations,stations,TABLENAME,Table name,
JEN_WGN_01,Station 1,Month,Month,
JEN_WGN_01,Station 1,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_01,Station 1,AMP_R,Amplifier ,
JEN_WGN_01,Station 1,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_01,Station 1,TMPSTDMX,STD of Max temperature,
JEN_WGN_01,Station 1,PCPDAYMM,Mean daily rainfall,
JEN_WGN_01,Station 1,PCPMONMM,Mean monthly rainfall,
JEN_WGN_01,Station 1,PR_W1,Probability of wet day after dry day,
JEN_WGN_01,Station 1,PR_W3,Probability of wet day,
JEN_WGN_01,Station 1,PCPSKW,PCP skewnes,
JEN_WGN_01,Station 1,WNDAV,Average wind speed,
JEN_WGN_01,Station 1,WNDDIR,Wind direction,
JEN_WGN_01,Station 1,PR_W2,Probability of wet day after wet day,
JEN_WGN_01,Station 1,TMPMN,Minimum temperature,
JEN_WGN_01,Station 1,PCF,Path coefficient factor,
JEN_WGN_01,Station 1,TMPMX,Maximum temperature,
JEN_WGN_01,Station 1,WNDDIRSTD,STD of wind speed,
JEN_WGN_01,Station 1,PCPDAYS,Precipitation days,
JEN_WGN_01,Station 1,SOLARAV,Average solar radiation,
JEN_WGN_01,Station 1,DEWPT,Dew point temperature,
JEN_WGN_01,Station 1,TMPSTDMN,STD of Min temperature,
JEN_WGN_01,Station 1,PCPSTD,STD of precipitation,
JEN_WGN_02,Station 2,Month,Month,
JEN_WGN_02,Station 2,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_02,Station 2,AMP_R,Amplifier ,
JEN_WGN_02,Station 2,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_02,Station 2,TMPSTDMX,STD of Max temperature,
JEN_WGN_02,Station 2,PCPDAYMM,Mean daily rainfall,
JEN_WGN_02,Station 2,PCPMONMM,Mean monthly rainfall,
JEN_WGN_02,Station 2,PR_W1,Probability of wet day after dry day,
JEN_WGN_02,Station 2,PR_W3,Probability of wet day,
JEN_WGN_02,Station 2,PCPSKW,PCP skewnes,
JEN_WGN_02,Station 2,WNDAV,Average wind speed,
JEN_WGN_02,Station 2,WNDDIR,Wind direction,
JEN_WGN_02,Station 2,PR_W2,Probability of wet day after wet day,
JEN_WGN_02,Station 2,TMPMN,Minimum temperature,
JEN_WGN_02,Station 2,PCF,Path coefficient factor,
JEN_WGN_02,Station 2,TMPMX,Maximum temperature,
JEN_WGN_02,Station 2,WNDDIRSTD,STD of wind speed,
JEN_WGN_02,Station 2,PCPDAYS,Precipitation days,
JEN_WGN_02,Station 2,SOLARAV,Average solar radiation,
JEN_WGN_02,Station 2,DEWPT,Dew point temperature,
JEN_WGN_02,Station 2,TMPSTDMN,STD of Min temperature,
JEN_WGN_02,Station 2,PCPSTD,STD of precipitation,
JEN_WGN_03,Station 3,Month,Month,
JEN_WGN_03,Station 3,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_03,Station 3,AMP_R,Amplifier ,
JEN_WGN_03,Station 3,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_03,Station 3,TMPSTDMX,STD of Max temperature,
JEN_WGN_03,Station 3,PCPDAYMM,Mean daily rainfall,
JEN_WGN_03,Station 3,PCPMONMM,Mean monthly rainfall,
JEN_WGN_03,Station 3,PR_W1,Probability of wet day after dry day,
JEN_WGN_03,Station 3,PR_W3,Probability of wet day,
JEN_WGN_03,Station 3,PCPSKW,PCP skewnes,
JEN_WGN_03,Station 3,WNDAV,Average wind speed,
JEN_WGN_03,Station 3,WNDDIR,Wind direction,
JEN_WGN_03,Station 3,PR_W2,Probability of wet day after wet day,
JEN_WGN_03,Station 3,TMPMN,Minimum temperature,
JEN_WGN_03,Station 3,PCF,Path coefficient factor,
JEN_WGN_03,Station 3,TMPMX,Maximum temperature,
JEN_WGN_03,Station 3,WNDDIRSTD,STD of wind speed,
JEN_WGN_03,Station 3,PCPDAYS,Precipitation days,
JEN_WGN_03,Station 3,SOLARAV,Average solar radiation,
JEN_WGN_03,Station 3,DEWPT,Dew point temperature,
JEN_WGN_03,Station 3,TMPSTDMN,STD of Min temperature,
JEN_WGN_03,Station 3,PCPSTD,STD of precipitation,
JEN_WGN_04,Station 4,Month,Month,
JEN_WGN_04,Station 4,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_04,Station 4,AMP_R,Amplifier ,
JEN_WGN_04,Station 4,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_04,Station 4,TMPSTDMX,STD of Max temperature,
JEN_WGN_04,Station 4,PCPDAYMM,Mean daily rainfall,
JEN_WGN_04,Station 4,PCPMONMM,Mean monthly rainfall,
JEN_WGN_04,Station 4,PR_W1,Probability of wet day after dry day,
JEN_WGN_04,Station 4,PR_W3,Probability of wet day,
JEN_WGN_04,Station 4,PCPSKW,PCP skewnes,
JEN_WGN_04,Station 4,WNDAV,Average wind speed,
JEN_WGN_04,Station 4,WNDDIR,Wind direction,
JEN_WGN_04,Station 4,PR_W2,Probability of wet day after wet day,
JEN_WGN_04,Station 4,TMPMN,Minimum temperature,
JEN_WGN_04,Station 4,PCF,Path coefficient factor,
JEN_WGN_04,Station 4,TMPMX,Maximum temperature,
JEN_WGN_04,Station 4,WNDDIRSTD,STD of wind speed,
JEN_WGN_04,Station 4,PCPDAYS,Precipitation days,
JEN_WGN_04,Station 4,SOLARAV,Average solar radiation,
JEN_WGN_04,Station 4,DEWPT,Dew point temperature,
JEN_WGN_04,Station 4,TMPSTDMN,STD of Min temperature,
JEN_WGN_04,Station 4,PCPSTD,STD of precipitation,
JEN_WGN_05,Station 5,Month,Month,
JEN_WGN_05,Station 5,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_05,Station 5,AMP_R,Amplifier ,
JEN_WGN_05,Station 5,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_05,Station 5,TMPSTDMX,STD of Max temperature,
JEN_WGN_05,Station 5,PCPDAYMM,Mean daily rainfall,
JEN_WGN_05,Station 5,PCPMONMM,Mean monthly rainfall,
JEN_WGN_05,Station 5,PR_W1,Probability of wet day after dry day,
JEN_WGN_05,Station 5,PR_W3,Probability of wet day,
JEN_WGN_05,Station 5,PCPSKW,PCP skewnes,
JEN_WGN_05,Station 5,WNDAV,Average wind speed,
JEN_WGN_05,Station 5,WNDDIR,Wind direction,
JEN_WGN_05,Station 5,PR_W2,Probability of wet day after wet day,
JEN_WGN_05,Station 5,TMPMN,Minimum temperature,
JEN_WGN_05,Station 5,PCF,Path coefficient factor,
JEN_WGN_05,Station 5,TMPMX,Maximum temperature,
JEN_WGN_05,Station 5,WNDDIRSTD,STD of wind speed,
JEN_WGN_05,Station 5,PCPDAYS,Precipitation days,
JEN_WGN_05,Station 5,SOLARAV,Average solar radiation,
JEN_WGN_05,Station 5,DEWPT,Dew point temperature,
JEN_WGN_05,Station 5,TMPSTDMN,STD of Min temperature,
JEN_WGN_05,Station 5,PCPSTD,STD of precipitation,
JEN_WGN_06,Station 6,Month,Month,
JEN_WGN_06,Station 6,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_06,Station 6,AMP_R,Amplifier ,
JEN_WGN_06,Station 6,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_06,Station 6,TMPSTDMX,STD of Max temperature,
JEN_WGN_06,Station 6,PCPDAYMM,Mean daily rainfall,
JEN_WGN_06,Station 6,PCPMONMM,Mean monthly rainfall,
JEN_WGN_06,Station 6,PR_W1,Probability of wet day after dry day,
JEN_WGN_06,Station 6,PR_W3,Probability of wet day,
JEN_WGN_06,Station 6,PCPSKW,PCP skewnes,
JEN_WGN_06,Station 6,WNDAV,Average wind speed,
JEN_WGN_06,Station 6,WNDDIR,Wind direction,
JEN_WGN_06,Station 6,PR_W2,Probability of wet day after wet day,
JEN_WGN_06,Station 6,TMPMN,Minimum temperature,
JEN_WGN_06,Station 6,PCF,Path coefficient factor,
JEN_WGN_06,Station 6,TMPMX,Maximum temperature,
JEN_WGN_06,Station 6,WNDDIRSTD,STD of wind speed,
JEN_WGN_06,Station 6,PCPDAYS,Precipitation days,
JEN_WGN_06,Station 6,SOLARAV,Average solar radiation,
JEN_WGN_06,Station 6,DEWPT,Dew point temperature,
JEN_WGN_06,Station 6,TMPSTDMN,STD of Min temperature,
JEN_WGN_06,Station 6,PCPSTD,STD of precipitation,
JEN_WGN_07,Station 7,Month,Month,
JEN_WGN_07,Station 7,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_07,Station 7,AMP_R,Amplifier ,
JEN_WGN_07,Station 7,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_07,Station 7,TMPSTDMX,STD of Max temperature,
JEN_WGN_07,Station 7,PCPDAYMM,Mean daily rainfall,
JEN_WGN_07,Station 7,PCPMONMM,Mean monthly rainfall,
JEN_WGN_07,Station 7,PR_W1,Probability of wet day after dry day,
JEN_WGN_07,Station 7,PR_W3,Probability of wet day,
JEN_WGN_07,Station 7,PCPSKW,PCP skewnes,
JEN_WGN_07,Station 7,WNDAV,Average wind speed,
JEN_WGN_07,Station 7,WNDDIR,Wind direction,
JEN_WGN_07,Station 7,PR_W2,Probability of wet day after wet day,
JEN_WGN_07,Station 7,TMPMN,Minimum temperature,
JEN_WGN_07,Station 7,PCF,Path coefficient factor,
JEN_WGN_07,Station 7,TMPMX,Maximum temperature,
JEN_WGN_07,Station 7,WNDDIRSTD,STD of wind speed,
JEN_WGN_07,Station 7,PCPDAYS,Precipitation days,
JEN_WGN_07,Station 7,SOLARAV,Average solar radiation,
JEN_WGN_07,Station 7,DEWPT,Dew point temperature,
JEN_WGN_07,Station 7,TMPSTDMN,STD of Min temperature,
JEN_WGN_07,Station 7,PCPSTD,STD of precipitation,
JEN_WGN_08,Station 8,Month,Month,
JEN_WGN_08,Station 8,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_08,Station 8,AMP_R,Amplifier ,
JEN_WGN_08,Station 8,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_08,Station 8,TMPSTDMX,STD of Max temperature,
JEN_WGN_08,Station 8,PCPDAYMM,Mean daily rainfall,
JEN_WGN_08,Station 8,PCPMONMM,Mean monthly rainfall,
JEN_WGN_08,Station 8,PR_W1,Probability of wet day after dry day,
JEN_WGN_08,Station 8,PR_W3,Probability of wet day,
JEN_WGN_08,Station 8,PCPSKW,PCP skewnes,
JEN_WGN_08,Station 8,WNDAV,Average wind speed,
JEN_WGN_08,Station 8,WNDDIR,Wind direction,
JEN_WGN_08,Station 8,PR_W2,Probability of wet day after wet day,
JEN_WGN_08,Station 8,TMPMN,Minimum temperature,
JEN_WGN_08,Station 8,PCF,Path coefficient factor,
JEN_WGN_08,Station 8,TMPMX,Maximum temperature,
JEN_WGN_08,Station 8,WNDDIRSTD,STD of wind speed,
JEN_WGN_08,Station 8,PCPDAYS,Precipitation days,
JEN_WGN_08,Station 8,SOLARAV,Average solar radiation,
JEN_WGN_08,Station 8,DEWPT,Dew point temperature,
JEN_WGN_08,Station 8,TMPSTDMN,STD of Min temperature,
JEN_WGN_08,Station 8,PCPSTD,STD of precipitation,
JEN_WGN_09,Station 9,Month,Month,
JEN_WGN_09,Station 9,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_09,Station 9,AMP_R,Amplifier ,
JEN_WGN_09,Station 9,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_09,Station 9,TMPSTDMX,STD of Max temperature,
JEN_WGN_09,Station 9,PCPDAYMM,Mean daily rainfall,
JEN_WGN_09,Station 9,PCPMONMM,Mean monthly rainfall,
JEN_WGN_09,Station 9,PR_W1,Probability of wet day after dry day,
JEN_WGN_09,Station 9,PR_W3,Probability of wet day,
JEN_WGN_09,Station 9,PCPSKW,PCP skewnes,
JEN_WGN_09,Station 9,WNDAV,Average wind speed,
JEN_WGN_09,Station 9,WNDDIR,Wind direction,
JEN_WGN_09,Station 9,PR_W2,Probability of wet day after wet day,
JEN_WGN_09,Station 9,TMPMN,Minimum temperature,
JEN_WGN_09,Station 9,PCF,Path coefficient factor,
JEN_WGN_09,Station 9,TMPMX,Maximum temperature,
JEN_WGN_09,Station 9,WNDDIRSTD,STD of wind speed,
JEN_WGN_09,Station 9,PCPDAYS,Precipitation days,
JEN_WGN_09,Station 9,SOLARAV,Average solar radiation,
JEN_WGN_09,Station 9,DEWPT,Dew point temperature,
JEN_WGN_09,Station 9,TMPSTDMN,STD of Min temperature,
JEN_WGN_09,Station 9,PCPSTD,STD of precipitation,
JEN_WGN_10,Station 10,Month,Month,
JEN_WGN_10,Station 10,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_10,Station 10,AMP_R,Amplifier ,
JEN_WGN_10,Station 10,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_10,Station 10,TMPSTDMX,STD of Max temperature,
JEN_WGN_10,Station 10,PCPDAYMM,Mean daily rainfall,
JEN_WGN_10,Station 10,PCPMONMM,Mean monthly rainfall,
JEN_WGN_10,Station 10,PR_W1,Probability of wet day after dry day,
JEN_WGN_10,Station 10,PR_W3,Probability of wet day,
JEN_WGN_10,Station 10,PCPSKW,PCP skewnes,
JEN_WGN_10,Station 10,WNDAV,Average wind speed,
JEN_WGN_10,Station 10,WNDDIR,Wind direction,
JEN_WGN_10,Station 10,PR_W2,Probability of wet day after wet day,
JEN_WGN_10,Station 10,TMPMN,Minimum temperature,
JEN_WGN_10,Station 10,PCF,Path coefficient factor,
JEN_WGN_10,Station 10,TMPMX,Maximum temperature,
JEN_WGN_10,Station 10,WNDDIRSTD,STD of wind speed,
JEN_WGN_10,Station 10,PCPDAYS,Precipitation days,
JEN_WGN_10,Station 10,SOLARAV,Average solar radiation,
JEN_WGN_10,Station 10,DEWPT,Dew point temperature,
JEN_WGN_10,Station 10,TMPSTDMN,STD of Min temperature,
JEN_WGN_10,Station 10,PCPSTD,STD of precipitation,
JEN_WGN_11,Station 11,Month,Month,
JEN_WGN_11,Station 11,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_11,Station 11,AMP_R,Amplifier ,
JEN_WGN_11,Station 11,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_11,Station 11,TMPSTDMX,STD of Max temperature,
JEN_WGN_11,Station 11,PCPDAYMM,Mean daily rainfall,
JEN_WGN_11,Station 11,PCPMONMM,Mean monthly rainfall,
JEN_WGN_11,Station 11,PR_W1,Probability of wet day after dry day,
JEN_WGN_11,Station 11,PR_W3,Probability of wet day,
JEN_WGN_11,Station 11,PCPSKW,PCP skewnes,
JEN_WGN_11,Station 11,WNDAV,Average wind speed,
JEN_WGN_11,Station 11,WNDDIR,Wind direction,
JEN_WGN_11,Station 11,PR_W2,Probability of wet day after wet day,
JEN_WGN_11,Station 11,TMPMN,Minimum temperature,
JEN_WGN_11,Station 11,PCF,Path coefficient factor,
JEN_WGN_11,Station 11,TMPMX,Maximum temperature,
JEN_WGN_11,Station 11,WNDDIRSTD,STD of wind speed,
JEN_WGN_11,Station 11,PCPDAYS,Precipitation days,
JEN_WGN_11,Station 11,SOLARAV,Average solar radiation,
JEN_WGN_11,Station 11,DEWPT,Dew point temperature,
JEN_WGN_11,Station 11,TMPSTDMN,STD of Min temperature,
JEN_WGN_11,Station 11,PCPSTD,STD of precipitation,
JEN_WGN_12,Station 12,Month,Month,
JEN_WGN_12,Station 12,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_12,Station 12,AMP_R,Amplifier ,
JEN_WGN_12,Station 12,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_12,Station 12,TMPSTDMX,STD of Max temperature,
JEN_WGN_12,Station 12,PCPDAYMM,Mean daily rainfall,
JEN_WGN_12,Station 12,PCPMONMM,Mean monthly rainfall,
JEN_WGN_12,Station 12,PR_W1,Probability of wet day after dry day,
JEN_WGN_12,Station 12,PR_W3,Probability of wet day,
JEN_WGN_12,Station 12,PCPSKW,PCP skewnes,
JEN_WGN_12,Station 12,WNDAV,Average wind speed,
JEN_WGN_12,Station 12,WNDDIR,Wind direction,
JEN_WGN_12,Station 12,PR_W2,Probability of wet day after wet day,
JEN_WGN_12,Station 12,TMPMN,Minimum temperature,
JEN_WGN_12,Station 12,PCF,Path coefficient factor,
JEN_WGN_12,Station 12,TMPMX,Maximum temperature,
JEN_WGN_12,Station 12,WNDDIRSTD,STD of wind speed,
JEN_WGN_12,Station 12,PCPDAYS,Precipitation days,
JEN_WGN_12,Station 12,SOLARAV,Average solar radiation,
JEN_WGN_12,Station 12,DEWPT,Dew point temperature,
JEN_WGN_12,Station 12,TMPSTDMN,STD of Min temperature,
